cycSecs,cycMps,cycGrade,cycRoadType
91,3.627495213,0,0
92,3.606844747,0,0
93,3.586458253,0,0
94,3.56633573,0,0
95,3.546477179,0,0
96,3.5268826,0,0
97,3.507551991,0,0
98,3.488485355,0,0
99,3.46968269,0,0
100,3.451143996,0,0
101,3.432869274,0,0
102,3.414858524,0,0
103,3.397111745,0,0
104,3.379628938,0,0
105,3.362410102,0,0
106,3.345455238,0,0
107,3.328764345,0,0
108,3.312337424,0,0
109,3.296174475,0,0
110,3.280275496,0,0
111,3.26464049,0,0
112,3.249269455,0,0
113,3.234162392,0,0
114,3.2193193,0,0
115,3.204740179,0,0
116,3.190425031,0,0
117,3.176373853,0,0
118,3.162586648,0,0
119,3.149063414,0,0
120,3.135804151,0,0
121,3.12280886,0,0
122,3.11007754,0,0
123,3.097610192,0,0
124,3.085406816,0,0
125,3.073467411,0,0
126,3.061791977,0,0
127,3.050380516,0,0
128,3.039233026,0,0
129,3.028349506,0,0
130,3.017729959,0,0
131,3.007374384,0,0
132,2.997282779,0,0
133,2.987455147,0,0
134,2.977891486,0,0
135,2.968591797,0,0
136,2.959556079,0,0
137,2.950784332,0,0
138,2.942276558,0,0
139,2.934032754,0,0
140,2.926052922,0,0
141,2.918337062,0,0
142,2.910885173,0,0
143,2.903697256,0,0
144,2.896773311,0,0
145,2.890113337,0,0
146,2.883717334,0,0
147,2.877585303,0,0
148,2.871717244,0,0
149,2.866113156,0,0
150,2.860773039,0,0
151,2.855696895,0,0
152,2.850884722,0,0
153,2.84633652,0,0
154,2.842052289,0,0
155,2.838032031,0,0
156,2.834387311,0,0
157,2.831564398,0,0
158,2.82967486,0,0
159,2.828718696,0,0
160,2.828695906,0,0
161,2.82960649,0,0
162,2.831450449,0,0
163,2.834227782,0,0
164,2.83793849,0,0
165,2.842582572,0,0
166,2.848160028,0,0
167,2.854670858,0,0
168,2.862115063,0,0
169,2.870492642,0,0
170,2.879803596,0,0
171,2.890047923,0,0
172,2.901225625,0,0
173,2.913336702,0,0
174,2.926381152,0,0
175,2.940358977,0,0
176,2.955270177,0,0
177,2.97111475,0,0
178,2.987892698,0,0
179,3.005604021,0,0
180,3.024248717,0,0
181,3.043826789,0,0
182,3.064338234,0,0
183,3.085783053,0,0
184,3.108161247,0,0
185,3.131472816,0,0
186,3.155717758,0,0
187,3.180896075,0,0
188,3.207007766,0,0
189,3.234052832,0,0
190,3.262031271,0,0
191,3.290943086,0,0
192,3.320788274,0,0
193,3.351566837,0,0
194,3.383278774,0,0
195,3.415924086,0,0
196,3.449502771,0,0
197,3.484014832,0,0
198,3.519460266,0,0
199,3.555839075,0,0
200,3.593151258,0,0
201,3.631396815,0,0
202,3.670575747,0,0
203,3.710688053,0,0
204,3.751733734,0,0
205,3.793712788,0,0
206,3.836625217,0,0
207,3.88047102,0,0
208,3.925250198,0,0
209,3.97096275,0,0
210,4.017608677,0,0
211,4.065187977,0,0
212,4.113700652,0,0
213,4.163146702,0,0
214,4.213526125,0,0
215,4.264838923,0,0
216,4.317085095,0,0
217,4.370264642,0,0
218,4.424377563,0,0
219,4.47942386,0,0
220,4.535403528,0,0
221,4.59231657,0,0
222,4.650162987,0,0
223,4.708942784,0,0
224,4.768655951,0,0
225,4.829302488,0,0
226,4.890882404,0,0
227,4.953395695,0,0
228,5.016842357,0,0
229,5.081222398,0,0
230,5.146535809,0,0
231,5.212782595,0,0
232,5.279962761,0,0
233,5.348076296,0,0
234,5.417123207,0,0
235,5.487103488,0,0
236,5.558017148,0,0
237,5.629864183,0,0
238,5.702644588,0,0
239,5.776358368,0,0
240,5.851005528,0,0
241,5.926586057,0,0
242,6.003099962,0,0
243,6.080547241,0,0
244,6.158927891,0,0
245,6.23824192,0,0
246,6.318489324,0,0
247,6.399670098,0,0
248,6.481784247,0,0
249,6.564831776,0,0
250,6.648812674,0,0
251,6.733726948,0,0
252,6.819574596,0,0
253,6.906355615,0,0
254,6.994070012,0,0
255,7.082717785,0,0
256,7.172298928,0,0
257,7.262813451,0,0
258,7.354261343,0,0
259,7.446642611,0,0
260,7.539957253,0,0
261,7.63420527,0,0
262,7.729386662,0,0
263,7.825501425,0,0
264,7.922549566,0,0
265,8.020531078,0,0
266,8.119445969,0,0
267,8.219294231,0,0
